,number,date_from,date_to
0,1,1945-01-25,1951-07-30
1,2,1951-07-30,1955-07-26
2,3,1955-07-26,1959-11-03
3,4,1959-11-03,1961-08-15
4,5,1961-08-15,1965-11-02
5,6,1965-11-02,1969-10-28
6,7,1969-10-28,1973-12-31
7,8,1973-12-31,1977-05-17
8,9,1977-05-17,1981-06-30
9,10,1981-06-30,1984-07-23
10,11,1984-07-23,1988-11-01
11,12,1988-11-01,1992-06-23
12,13,1992-06-23,1996-05-29
13,14,1996-05-29,1999-05-17
14,15,1999-05-17,2003-01-28
15,16,2003-01-28,2006-03-28
16,17,2006-03-28,2009-02-10
17,18,2009-02-10,2013-01-23
18,19,2013-01-23,2015-03-17
19,20,2015-03-18,2019-03-18
